,cycle,time_start,time_end,u,v,w,B_u,dB_u,B_v,dB_v,B_w,dB_w,x,y,z,B_x,B_y,B_z
4,4,1565393044,1565393048,-87.95,13.87,-192.75,0.430332,0.000765029,1.505426,6.27E-05,0.70513,0.000597997,98.2,192.75,12.62,-0.430332,-0.70513,1.505426
9,9,1565393116,1565393120,-47.95,13.87,-192.75,0.662516,0.001423106,1.608406,0.000324469,0.697552,0.000513683,58.2,192.75,12.62,-0.662516,-0.697552,1.608406
14,14,1565393192,1565393196,-7.95,13.87,-192.75,0.879776,0.001380554,1.729678,0.000303924,0.639582,0.000883216,18.2,192.75,12.62,-0.879776,-0.639582,1.729678
19,19,1565393291,1565393295,32.05,13.87,-192.75,1.16326,0.000970309,1.85373,0.000362767,0.47325,0.001118928,-21.8,192.75,12.62,-1.16326,-0.47325,1.85373
24,24,1565393359,1565393363,72.05,13.87,-192.75,1.448248,0.000910368,1.98782,0.00051672,0.0947242,0.001147334,-61.8,192.75,12.62,-1.448248,-0.0947242,1.98782
29,29,1565393444,1565393448,112.05,13.87,-192.75,1.339294,0.002133267,2.38584,0.002803212,-0.1545842,0.001227969,-101.8,192.75,12.62,-1.339294,0.1545842,2.38584
34,34,1565393547,1565393551,112.05,13.87,-152.75,1.207008,0.000666686,2.50552,0.000148324,-0.1410918,0.004545254,-101.8,152.75,12.62,-1.207008,0.1410918,2.50552
39,39,1565393619,1565393623,72.05,13.87,-152.75,1.074574,0.001705236,2.16476,0.000482701,0.1507102,0.000897904,-61.8,152.75,12.62,-1.074574,-0.1507102,2.16476
44,44,1565393691,1565393695,32.05,13.87,-152.75,0.959026,0.001221241,1.965682,0.000373256,0.38038,0.000348066,-21.8,152.75,12.62,-0.959026,-0.38038,1.965682
49,49,1565393856,1565393860,-7.95,13.87,-152.75,0.762398,0.00181555,1.820552,0.00024366,0.51061,0.001574389,18.2,152.75,12.62,-0.762398,-0.51061,1.820552
54,54,1565393961,1565393965,-47.95,13.87,-152.75,0.619862,0.000878106,1.697846,0.000127004,0.583072,0.000253318,58.2,152.75,12.62,-0.619862,-0.583072,1.697846
59,59,1565394047,1565394051,-87.95,13.87,-152.75,0.43683,0.000868936,1.591386,0.000166823,0.616616,0.000524624,98.2,152.75,12.62,-0.43683,-0.616616,1.591386
64,64,1565394152,1565394156,-87.95,13.87,-112.75,0.426708,0.000209452,1.664892,8.70E-05,0.561856,0.000456213,98.2,112.75,12.62,-0.426708,-0.561856,1.664892
69,69,1565394231,1565394235,-47.95,13.87,-112.75,0.55785,0.000283461,1.76867,3.81E-05,0.515896,0.00035225,58.2,112.75,12.62,-0.55785,-0.515896,1.76867
74,74,1565394319,1565394323,-7.95,13.87,-112.75,0.661468,0.002474868,1.886666,0.000597185,0.44415,0.000517735,18.2,112.75,12.62,-0.661468,-0.44415,1.886666
79,79,1565394384,1565394388,32.05,13.87,-112.75,0.7623,0.004210683,2.02516,0.00098387,0.341502,0.000701798,-21.8,112.75,12.62,-0.7623,-0.341502,2.02516
84,84,1565394475,1565394479,72.05,13.87,-112.75,0.842678,0.002029401,2.19372,0.000756307,0.1686126,0.000866669,-61.8,112.75,12.62,-0.842678,-0.1686126,2.19372
89,89,1565394553,1565394557,112.05,13.87,-112.75,0.857844,0.000388433,2.3886,0.0001,-0.0261218,0.000710272,-101.8,112.75,12.62,-0.857844,0.0261218,2.3886
94,94,1565394615,1565394619,152.05,13.87,-112.75,0.729756,0.000133529,2.58712,0.000109545,-0.222398,0.000452294,-141.8,112.75,12.62,-0.729756,0.222398,2.58712
4,4,1565394788,1565394792,112.05,13.87,-72.75,0.694584,0.001839709,2.32002,0.000294958,0.0985528,0.000630076,-101.8,72.75,12.62,-0.694584,-0.0985528,2.32002
109,110,1565397362,1565397366,152.05,13.87,-72.75,0.633914,0.002094154,2.45462,0.000465833,0.0054562,0.001338397,-141.8,72.75,12.62,-0.633914,-0.0054562,2.45462
9,9,1565394875,1565394879,112.05,13.87,-32.75,0.619986,0.001823233,2.27112,0.000580517,0.229092,0.001325753,-101.8,32.75,12.62,-0.619986,-0.229092,2.27112
104,105,1565397277,1565397281,152.05,13.87,-32.75,0.61447,0.001398535,2.3872,7.07E-05,0.1699054,0.000335897,-141.8,32.75,12.62,-0.61447,-0.1699054,2.3872
14,14,1565395017,1565395021,112.05,13.87,7.25,0.587142,0.001576157,2.23962,0.000511859,0.29846,0.001373936,-101.8,-7.25,12.62,-0.587142,-0.29846,2.23962
99,100,1565397182,1565397186,152.05,13.87,7.25,0.619734,0.001095915,2.3479,0.000223607,0.29006,0.000933702,-141.8,-7.25,12.62,-0.619734,-0.29006,2.3479
19,19,1565395115,1565395119,112.05,13.87,47.25,0.59534,0.001096745,2.21678,0.000311448,0.34249,0.001228882,-101.8,-47.25,12.62,-0.59534,-0.34249,2.21678
94,95,1565397079,1565397083,152.05,13.87,47.25,0.641152,0.002266687,2.31888,0.000491935,0.395122,0.000692438,-141.8,-47.25,12.62,-0.641152,-0.395122,2.31888
24,24,1565395206,1565395210,112.05,13.87,87.25,0.601166,0.000930554,2.19952,0.000192354,0.405968,0.000692546,-101.8,-87.25,12.62,-0.601166,-0.405968,2.19952
89,90,1565396616,1565396620,152.05,13.87,87.25,0.685382,0.000849629,2.29912,0.000238747,0.447566,0.000567212,-141.8,-87.25,12.62,-0.685382,-0.447566,2.29912
29,29,1565395290,1565395294,112.05,13.87,127.25,0.609184,0.005363612,2.18358,0.001171324,0.474368,0.001007904,-101.8,-127.25,12.62,-0.609184,-0.474368,2.18358
84,85,1565396505,1565396509,152.05,13.87,127.25,0.724174,0.003297814,2.27996,0.000650385,0.520654,0.000433912,-141.8,-127.25,12.62,-0.724174,-0.520654,2.27996
34,34,1565395409,1565395413,112.05,13.87,167.25,0.639432,0.000535836,2.17892,0.000148324,0.508716,0.000566065,-101.8,-167.25,12.62,-0.639432,-0.508716,2.17892
79,80,1565396432,1565396436,152.05,13.87,167.25,0.762108,0.002344775,2.2707,0.000430116,0.540664,0.000861789,-141.8,-167.25,12.62,-0.762108,-0.540664,2.2707
39,39,1565395516,1565395520,112.05,13.87,207.25,0.640106,0.001238237,2.17408,0.000286356,0.584742,0.001035505,-101.8,-207.25,12.62,-0.640106,-0.584742,2.17408
74,75,1565396338,1565396342,152.05,13.87,207.25,0.813934,0.000457635,2.2571,0.000158114,0.613834,0.000880926,-141.8,-207.25,12.62,-0.813934,-0.613834,2.2571
44,44,1565395670,1565395674,112.05,13.87,247.25,0.65191,0.006889452,2.16858,0.001070981,0.68722,0.002742991,-101.8,-247.25,12.62,-0.65191,-0.68722,2.16858
69,70,1565396231,1565396235,152.05,13.87,247.25,0.852462,0.002246468,2.2276,0.000187083,0.735036,0.001931277,-141.8,-247.25,12.62,-0.852462,-0.735036,2.2276
49,49,1565395775,1565395779,112.05,13.87,287.25,0.648252,0.001217998,2.15878,0.000192354,0.90238,0.001179788,-101.8,-287.25,12.62,-0.648252,-0.90238,2.15878
64,65,1565396131,1565396135,152.05,13.87,287.25,0.871602,0.000409902,2.19106,0.000151658,0.85613,0.000328557,-141.8,-287.25,12.62,-0.871602,-0.85613,2.19106
54,54,1565395880,1565395884,112.05,13.87,327.25,0.448616,0.002174633,2.2108,0.0003937,1.450084,0.002389002,-101.8,-327.25,12.62,-0.448616,-1.450084,2.2108
59,59,1565396002,1565396006,152.05,13.87,327.25,0.722702,0.006351403,2.13082,0.001935717,0.959214,0.002086559,-141.8,-327.25,12.62,-0.722702,-0.959214,2.13082
0,0,1565404632,1565404636,12.05,42.37,-32.75,0.476896,0.000145534,2.03504,5.48E-05,0.377896,0.000105499,-1.8,32.75,41.12,-0.476896,-0.377896,2.03504
65,65,1565406046,1565406050,-7.95,42.37,-32.75,0.438506,0.001731121,1.98996,0.000789303,0.398534,0.004143396,18.2,32.75,41.12,-0.438506,-0.398534,1.98996
70,70,1565406146,1565406150,-27.95,42.37,-32.75,0.413772,0.000715416,1.94372,0.000216795,0.413796,0.000499279,38.2,32.75,41.12,-0.413772,-0.413796,1.94372
135,135,1565407471,1565407475,-67.95,42.37,-32.75,0.353524,0.000266796,1.85566,0.000114018,0.456866,0.000764807,78.2,32.75,41.12,-0.353524,-0.456866,1.85566
5,5,1565404734,1565404738,12.05,42.37,7.25,0.42819,0.000123085,2.04922,4.47E-05,0.393932,0.000329348,-1.8,-7.25,41.12,-0.42819,-0.393932,2.04922
60,60,1565405963,1565405967,-7.95,42.37,7.25,0.392678,0.000578636,2.01198,8.37E-05,0.411242,0.000295922,18.2,-7.25,41.12,-0.392678,-0.411242,2.01198
75,75,1565406229,1565406233,-27.95,42.37,7.25,0.362774,0.002420192,1.97194,5.48E-05,0.441638,0.002366426,38.2,-7.25,41.12,-0.362774,-0.441638,1.97194
130,130,1565407325,1565407329,-67.95,42.37,7.25,0.32443,0.000746659,1.90038,8.37E-05,0.460574,0.000238076,78.2,-7.25,41.12,-0.32443,-0.460574,1.90038
10,10,1565404806,1565404810,12.05,42.37,47.25,0.384368,0.000385577,2.06702,4.47E-05,0.4152,0.00019862,-1.8,-47.25,41.12,-0.384368,-0.4152,2.06702
55,55,1565405876,1565405880,-7.95,42.37,47.25,0.352112,0.000366156,2.0392,0.0001,0.421692,0.000155145,18.2,-47.25,41.12,-0.352112,-0.421692,2.0392
80,80,1565406319,1565406323,-27.95,42.37,47.25,0.325146,9.96E-05,2.00546,0.000151658,0.45227,0.000739493,38.2,-47.25,41.12,-0.325146,-0.45227,2.00546
125,125,1565407255,1565407259,-67.95,42.37,47.25,0.278098,0.00058649,1.95104,0.000219089,0.464396,0.001164487,78.2,-47.25,41.12,-0.278098,-0.464396,1.95104
15,15,1565404909,1565404913,12.05,42.37,87.25,0.35375,0.000145602,2.0846,7.07E-05,0.446754,0.000263401,-1.8,-87.25,41.12,-0.35375,-0.446754,2.0846
50,50,1565405800,1565405804,-7.95,42.37,87.25,0.321462,0.000238474,2.06594,8.94E-05,0.44699,0.000271109,18.2,-87.25,41.12,-0.321462,-0.44699,2.06594
85,85,1565406416,1565406420,-27.95,42.37,87.25,0.292652,0.000613082,2.04442,0.000216795,0.461734,0.001436047,38.2,-87.25,41.12,-0.292652,-0.461734,2.04442
120,120,1565407193,1565407197,-67.95,42.37,87.25,0.241726,0.000165015,2.00956,5.48E-05,0.475764,0.000350186,78.2,-87.25,41.12,-0.241726,-0.475764,2.00956
20,20,1565404997,1565405001,12.05,42.37,127.25,0.342482,7.46E-05,2.11498,4.47E-05,0.473566,0.000174155,-1.8,-127.25,41.12,-0.342482,-0.473566,2.11498
45,45,1565405699,1565405703,-7.95,42.37,127.25,0.306532,0.001538853,2.10342,0.000192354,0.477314,0.000343919,18.2,-127.25,41.12,-0.306532,-0.477314,2.10342
90,90,1565406506,1565406510,-27.95,42.37,127.25,0.27156,0.000607783,2.09378,4.47E-05,0.482134,0.000547293,38.2,-127.25,41.12,-0.27156,-0.482134,2.09378
115,115,1565407119,1565407123,-67.95,42.37,127.25,0.234324,0.00122753,2.07486,0.000439318,0.50072,0.001691863,78.2,-127.25,41.12,-0.234324,-0.50072,2.07486
25,25,1565405128,1565405132,12.05,42.37,167.25,0.3354,5.83E-05,2.15586,8.94E-05,0.507636,0.000358929,-1.8,-167.25,41.12,-0.3354,-0.507636,2.15586
40,40,1565405568,1565405572,-7.95,42.37,167.25,0.284806,0.001331815,2.15572,0.000192354,0.508982,0.000263856,18.2,-167.25,41.12,-0.284806,-0.508982,2.15572
95,95,1565406625,1565406629,-27.95,42.37,167.25,0.259608,0.000970036,2.15474,0.000482701,0.50707,0.002491917,38.2,-167.25,41.12,-0.259608,-0.50707,2.15474
110,110,1565407032,1565407036,-67.95,42.37,167.25,0.196918,0.005587868,2.16418,0.000501996,0.491976,0.0011352,78.2,-167.25,41.12,-0.196918,-0.491976,2.16418
140,140,1565407637,1565407641,-67.95,42.37,207.25,0.202898,0.000148054,2.25552,0.000164317,0.506178,0.000525899,78.2,-207.25,41.12,-0.202898,-0.506178,2.25552
185,185,1565408848,1565408852,-27.95,42.37,207.25,0.263302,0.000111445,2.22748,8.37E-05,0.51605,0.000332415,38.2,-207.25,41.12,-0.263302,-0.51605,2.22748
190,190,1565408977,1565408981,-7.95,42.37,207.25,0.27134,0.001318294,2.2122,0.000158114,0.547726,0.000257255,18.2,-207.25,41.12,-0.27134,-0.547726,2.2122
195,195,1565409119,1565409123,12.05,42.37,207.25,0.32075,0.000582151,2.20354,8.94E-05,0.550178,0.00071918,-1.8,-207.25,41.12,-0.32075,-0.550178,2.20354
145,145,1565407721,1565407725,-67.95,42.37,247.25,0.211514,0.001311652,2.36848,0.000148324,0.45623,0.000908598,78.2,-247.25,41.12,-0.211514,-0.45623,2.36848
170,170,1565408470,1565408474,12.05,42.37,247.25,0.353926,0.000114368,2.271,0,0.581506,8.74E-05,-1.8,-247.25,41.12,-0.353926,-0.581506,2.271
175,175,1565408558,1565408562,-7.95,42.37,247.25,0.304742,0.0009821,2.29058,0.000130384,0.544802,0.000234776,18.2,-247.25,41.12,-0.304742,-0.544802,2.29058
180,180,1565408717,1565408721,-27.95,42.37,247.25,0.281028,0.000277435,2.31244,0.000482701,0.518552,0.002186063,38.2,-247.25,41.12,-0.281028,-0.518552,2.31244
150,150,1565407858,1565407862,-67.95,42.37,287.25,0.258168,0.002144404,2.47684,0.000378153,0.414618,0.001461291,78.2,-287.25,41.12,-0.258168,-0.414618,2.47684
