u_pos v_pos w_pos Bu_opera Bv_opera Bw_opera Bumap Bvmap Bwmap
98.2       192.75     12.62      -0.8341097 -0.690006  1.73899756 -0.430332  -0.70513   1.505426
58.2       192.75     12.62      -0.8060744 -0.5269656 1.79788631 -0.662516  -0.697552  1.608406
18.2       192.75     12.62      -0.8258778 -0.3538983 1.875431   -0.879776  -0.639582  1.729678
-21.8      192.75     12.62      -0.8923877 -0.1627396 1.95935509 -1.16326   -0.47325   1.85373
-61.8      192.75     12.62      -1.0201445 0.05333498 2.0381033  -1.448248  -0.0947242 1.98782
-101.8     192.75     12.62      -1.1956487 0.2822167  2.09974334 -1.339294  0.1545842  2.38584
-101.8     152.75     12.62      -0.9822814 0.18586799 2.14758373 -1.207008  0.1410918  2.50552
-61.8      152.75     12.62      -0.8133484 -9.693E-03 2.07837701 -1.074574  -0.1507102 2.16476
-21.8      152.75     12.62      -0.7117967 -0.1821249 2.00892866 -0.959026  -0.38038   1.965682
18.2       152.75     12.62      -0.6580569 -0.3411976 1.92526042 -0.762398  -0.51061   1.820552
58.2       152.75     12.62      -0.6536773 -0.4846108 1.85188077 -0.619862  -0.583072  1.697846
98.2       152.75     12.62      -0.6902322 -0.6157683 1.79887604 -0.43683   -0.616616  1.591386
98.2       112.75     12.62      -0.5780579 -0.5683467 1.85883711 -0.426708  -0.561856  1.664892
58.2       112.75     12.62      -0.5272311 -0.459795  1.90457413 -0.55785   -0.515896  1.76867
18.2       112.75     12.62      -0.5216324 -0.3421623 1.97338923 -0.661468  -0.44415   1.886666
-21.8      112.75     12.62      -0.5607805 -0.2181457 2.05016254 -0.7623    -0.341502  2.02516
-61.8      112.75     12.62      -0.650815  -0.0798633 2.12399048 -0.842678  -0.1686126 2.19372
-101.8     112.75     12.62      -0.8015346 0.07875103 2.18406118 -0.857844  0.0261218  2.3886
-141.8     112.75     12.62      -0.9966441 0.24628571 2.20947432 -0.729756  0.222398   2.58712
-101.8     72.75      12.62      -0.6528215 -0.0329429 2.21524403 -0.694584  -0.0985528 2.32002
-101.8     32.75      12.62      -0.5469447 -0.1414901 2.24360859 -0.619986  -0.229092  2.27112
-101.8     -7.25      12.62      -0.4788445 -0.2295091 2.26528519 -0.587142  -0.29846   2.23962
-101.8     -47.25     12.62      -0.4394027 -0.3009518 2.28636665 -0.59534   -0.34249   2.21678
-101.8     -87.25     12.62      -0.4271012 -0.3450047 2.30459023 -0.601166  -0.405968  2.19952
